file_name,VirtualProtectEx,HttpSendRequestW,NtFreeVirtualMemory,CreateThread,LdrLoadDll,SetEndOfFile,UuidCreate,SetFilePointer,NtProtectVirtualMemory,CryptAcquireContextW,MessageBoxTimeoutW,NtWriteVirtualMemory,CreateDirectoryW,NtCreateKey,WriteProcessMemory,LdrUnloadDll,ReadProcessMemory,NtSetInformationFile,NtTerminateProcess,NtWriteFile,VirtualFreeEx,NtSetContextThread,CoInitializeSecurity,NtResumeThread,InternetCloseHandle,NtClose,NtReadVirtualMemory,LookupPrivilegeValueW,GetDiskFreeSpaceExW,OpenServiceA,NtOpenKey,GetSystemTimeAsFileTime,NtDelayExecution,GetVolumePathNameW,NtQueryValueKey,FindResourceExA,GetFileAttributesW,FindResourceExW,NtGetContextThread,GetCursorPos,NtOpenDirectoryObject,getaddrinfo,NtReadFile,SearchPathW,GetSystemMetrics,GetSystemDirectory,label,source
locky_84.exe,89,36,13,36,17,79,95,166,27,195,69,133,25,23,58,47,92,66,30,79,65,89,46,39,38,67,6,28,19,13,6,30,8,6,7,21,27,21,13,15,5,22,13,29,18,4,1,Locky
browser_4.exe,12,39,4,22,17,39,20,31,31,3,14,0,19,8,27,25,24,33,10,46,8,20,6,2,37,16,5,14,16,22,25,5,37,36,6,14,13,37,5,37,49,25,53,24,41,45,0,Browser
browser_92.exe,14,36,21,25,14,21,28,8,20,4,38,26,0,30,19,10,3,27,33,80,9,5,28,18,36,15,14,8,50,21,35,39,37,44,20,7,40,14,25,40,9,30,52,23,50,25,0,Browser
browser_62.exe,8,24,23,12,23,17,25,38,40,3,11,29,32,11,0,4,11,23,30,80,34,14,28,15,8,0,22,26,25,50,16,36,27,24,10,24,35,23,9,50,31,40,47,31,12,46,0,Browser
game_66.exe,36,36,38,39,26,40,16,11,5,4,17,22,27,6,28,40,3,38,22,61,27,33,26,4,31,2,26,21,45,6,12,34,17,5,32,37,12,15,7,17,28,6,60,27,17,23,0,Game
wannacry_70.exe,55,84,29,141,35,80,64,97,60,131,71,79,36,10,170,37,89,41,43,576,100,23,15,52,76,31,3,4,23,29,21,29,15,21,22,4,20,22,21,4,23,19,25,19,29,21,1,WannaCry
office_43.exe,25,4,28,25,0,17,12,8,35,4,38,25,13,26,0,34,15,37,32,54,4,13,30,40,17,1,50,31,31,15,43,35,50,37,21,18,7,38,38,28,22,19,23,50,32,33,0,Office
wannacry_107.exe,100,96,19,64,96,32,58,33,99,100,41,73,36,45,270,72,34,39,83,557,25,88,68,23,42,64,18,21,3,24,22,29,13,20,11,22,19,2,23,2,9,10,24,10,28,12,1,WannaCry
teslacrypt_118.exe,23,12,89,38,41,121,13,12,56,126,97,95,92,141,212,72,53,24,44,85,33,83,21,70,90,95,27,29,8,17,8,7,5,4,30,17,27,4,2,27,6,8,14,26,6,22,1,TeslaCrypt
office_90.exe,12,21,13,37,34,27,28,2,20,2,17,27,19,1,1,28,37,30,5,12,14,8,23,38,37,25,40,41,29,37,6,6,14,14,39,30,36,48,10,23,40,9,33,29,32,17,0,Office
utility_41.exe,15,27,10,37,13,7,3,19,29,3,17,26,27,37,4,37,12,13,3,38,11,1,32,32,32,38,26,27,10,26,28,9,5,50,17,45,15,50,28,16,39,45,29,24,34,24,0,Utility
cerber_42.exe,77,95,68,90,49,13,73,84,195,187,50,14,84,20,48,15,49,56,55,385,13,59,13,11,82,82,7,8,10,16,29,28,25,24,3,22,30,20,22,25,25,23,16,26,26,19,1,Cerber
cerber_39.exe,77,93,47,41,22,75,45,69,136,220,66,15,63,13,76,50,64,25,94,332,37,44,54,20,63,86,18,19,7,20,23,1,30,4,17,26,7,19,2,27,14,19,26,19,28,28,1,Cerber
browser_52.exe,32,33,8,11,21,33,11,19,23,5,5,28,4,2,30,32,8,35,1,21,16,12,2,31,31,27,7,22,35,16,27,37,50,18,28,40,9,14,34,32,23,49,20,18,25,47,0,Browser
wannacry_39.exe,72,65,28,60,18,91,65,100,70,271,91,43,68,94,283,58,91,34,60,446,39,55,94,22,49,30,10,17,18,15,23,6,7,15,3,9,17,22,9,16,7,30,25,1,15,2,1,WannaCry
office_89.exe,25,18,25,36,24,20,9,40,25,4,40,24,8,24,25,38,10,27,15,33,9,20,14,4,26,37,23,6,21,35,35,44,35,28,14,26,16,18,24,30,35,41,54,27,9,41,0,Office
cerber_57.exe,36,58,88,20,25,99,38,15,120,184,25,49,23,18,18,40,47,80,87,407,27,47,88,60,46,35,1,7,30,10,2,28,18,18,17,18,25,18,12,25,7,18,11,5,3,21,1,Cerber
browser_79.exe,15,31,2,33,32,23,28,6,37,3,39,27,8,15,13,20,19,1,33,49,11,27,25,3,15,14,10,27,41,36,29,30,19,38,30,19,50,5,16,29,14,12,11,45,38,14,0,Browser
wannacry_66.exe,87,91,57,59,57,98,32,59,18,237,25,74,59,21,369,60,93,30,33,496,24,13,50,74,45,23,24,17,22,8,17,9,27,3,2,20,26,13,17,13,30,15,13,23,8,2,1,WannaCry
cerber_25.exe,12,89,59,43,78,83,94,61,83,221,70,59,10,87,80,83,23,92,94,379,96,52,53,83,56,31,9,11,20,17,14,26,20,9,12,1,9,25,10,22,20,24,3,13,27,27,1,Cerber
wannacry_67.exe,59,34,36,149,70,22,60,61,75,198,83,55,58,10,367,99,19,40,19,597,73,89,100,12,21,61,19,19,30,21,18,28,7,8,15,7,19,25,10,21,4,5,8,26,16,26,1,WannaCry
cerber_68.exe,18,52,93,98,90,25,17,43,169,261,71,62,71,60,74,22,91,95,89,328,48,79,29,14,11,95,12,25,30,26,18,9,28,4,29,24,26,27,25,19,5,16,16,8,10,13,1,Cerber
office_48.exe,8,13,39,9,7,39,15,8,36,2,7,34,4,5,13,34,2,9,28,42,18,0,35,3,14,31,24,26,45,38,40,22,40,29,38,31,49,30,43,20,48,28,16,50,16,31,0,Office
system_98.exe,9,13,6,28,29,22,16,31,11,1,33,36,0,17,5,35,16,33,23,39,12,28,2,32,25,3,20,12,23,11,32,36,41,46,48,10,21,47,20,32,14,34,23,35,5,27,0,System
utility_14.exe,39,11,29,39,36,11,2,33,40,4,0,3,5,6,37,34,10,15,33,23,16,24,9,15,16,8,29,42,24,12,23,16,20,50,35,49,42,34,11,37,33,43,26,23,40,29,0,Utility
utility_53.exe,33,8,1,28,33,3,16,35,24,5,14,24,14,7,36,1,8,17,17,50,29,30,16,20,29,9,8,33,37,22,36,49,29,49,29,43,40,43,47,30,26,49,50,8,25,46,0,Utility
cerber_77.exe,85,86,78,10,99,14,76,17,187,177,54,100,40,79,77,19,33,100,26,252,93,51,88,32,53,60,29,23,24,6,20,23,19,4,27,9,19,25,18,11,7,15,21,28,22,26,1,Cerber
teslacrypt_7.exe,28,28,43,35,98,169,82,35,60,121,46,59,57,130,351,60,76,64,18,72,83,56,69,66,62,28,19,16,16,16,4,30,1,15,3,16,5,16,17,26,2,16,28,20,7,24,1,TeslaCrypt
teslacrypt_76.exe,77,66,46,61,30,159,29,89,37,151,74,48,26,216,379,70,84,57,77,95,87,99,46,60,50,74,8,22,14,19,21,18,29,8,5,11,30,5,5,25,24,28,6,26,12,1,1,TeslaCrypt
office_22.exe,1,2,3,13,3,12,17,25,2,0,10,21,11,25,21,12,18,21,28,77,16,12,11,14,32,34,21,16,50,11,34,41,19,38,29,6,43,47,39,45,30,42,36,5,7,17,0,Office
locky_93.exe,103,53,30,73,67,41,56,165,84,152,96,273,55,22,18,50,60,74,41,49,46,80,73,19,34,25,1,14,22,9,18,30,3,15,21,25,11,25,9,3,3,26,29,17,23,10,1,Locky
utility_87.exe,24,20,20,28,22,37,15,0,33,0,21,24,32,4,14,1,38,37,37,79,25,30,4,5,18,38,37,11,5,50,42,38,37,41,40,6,24,19,37,47,10,7,41,28,13,44,0,Utility
teslacrypt_61.exe,74,75,15,78,56,222,78,38,28,244,75,23,17,84,353,28,42,80,70,42,74,80,10,34,18,33,16,14,11,18,5,18,2,2,10,18,6,19,23,15,24,9,27,7,27,2,1,TeslaCrypt
utility_64.exe,9,18,20,12,30,10,37,27,38,5,7,21,3,38,30,32,12,18,39,66,20,13,39,22,6,7,46,8,44,39,28,10,32,30,29,9,17,14,23,42,18,32,10,25,42,23,0,Utility
wannacry_88.exe,75,54,53,88,21,17,15,17,25,199,54,43,68,78,165,38,49,91,21,540,23,71,24,61,54,50,29,22,13,15,29,8,30,23,28,1,21,11,14,14,29,21,20,5,10,2,1,WannaCry
wannacry_63.exe,87,88,68,128,69,90,61,94,72,189,63,40,23,89,166,75,15,77,34,536,54,12,53,74,30,18,15,13,21,2,21,19,1,14,7,28,10,25,22,2,30,15,20,28,11,6,1,WannaCry
game_26.exe,19,0,33,21,6,39,36,5,7,5,38,30,20,18,9,31,8,40,25,43,14,3,0,3,33,20,26,8,12,5,42,47,45,43,15,27,10,14,41,23,31,45,55,5,41,25,0,Game
utility_16.exe,38,16,24,27,24,40,0,23,31,4,17,28,16,16,34,24,4,10,16,25,17,3,20,32,13,25,8,6,39,14,16,45,19,13,12,29,45,25,19,29,43,48,34,9,11,40,0,Utility
cerber_101.exe,19,85,59,83,10,61,94,34,122,138,86,34,57,73,65,16,52,68,53,426,25,43,49,11,30,26,1,22,8,17,29,22,23,4,26,25,10,15,20,14,3,5,13,2,25,28,1,Cerber
system_36.exe,11,25,31,6,17,37,15,18,18,1,18,28,29,22,32,20,2,27,16,34,38,36,34,27,23,2,24,12,29,12,44,41,33,43,9,20,7,20,31,46,6,8,59,18,6,27,0,System
cerber_6.exe,46,94,64,86,83,69,82,91,157,257,89,92,94,84,71,26,69,39,44,343,59,95,51,91,13,62,13,29,20,12,14,21,24,16,15,7,5,11,25,5,4,20,18,21,18,7,1,Cerber
browser_35.exe,15,35,1,31,38,24,37,29,8,5,39,32,32,3,17,19,0,0,28,72,27,3,5,15,4,18,42,35,39,14,39,15,45,35,21,14,41,9,37,21,16,19,29,41,17,28,0,Browser
browser_44.exe,24,24,15,31,6,4,28,40,13,3,13,3,30,0,22,4,14,1,20,73,0,13,21,8,33,6,49,48,9,25,20,6,18,30,34,21,6,29,5,42,43,26,65,22,20,16,0,Browser
office_54.exe,29,14,30,30,30,26,13,39,5,2,7,10,4,15,36,13,36,15,37,40,6,23,21,33,38,6,17,7,36,37,38,42,33,12,11,37,6,8,7,11,31,36,14,34,23,43,0,Office
system_59.exe,19,18,3,39,4,1,32,13,7,1,32,37,38,20,7,33,32,35,40,33,7,6,12,28,7,37,9,21,43,36,28,38,38,37,22,40,21,50,23,26,42,15,70,50,21,12,0,System
locky_43.exe,101,82,26,58,59,95,97,135,12,144,29,277,53,93,56,83,48,37,24,94,48,76,82,97,74,19,17,22,18,20,9,12,30,10,29,16,24,19,22,22,18,18,24,16,30,18,1,Locky
system_17.exe,31,16,33,14,30,4,18,9,0,3,19,5,0,33,38,35,8,24,37,25,20,33,11,33,32,8,50,17,25,10,43,8,6,48,29,24,41,26,34,48,27,37,42,16,12,37,0,System
office_28.exe,22,24,7,28,32,29,12,2,23,0,9,39,17,17,8,14,23,25,32,27,27,24,33,39,40,33,43,48,16,11,10,43,48,37,29,50,48,37,31,25,44,25,11,39,35,18,0,Office
game_23.exe,24,35,26,10,21,15,30,24,24,1,35,2,24,4,32,10,23,8,8,31,37,15,25,28,8,8,16,13,6,25,15,22,49,25,42,43,24,18,36,38,21,28,41,50,42,15,0,Game
system_85.exe,33,28,34,3,0,3,28,20,39,4,0,35,27,11,14,38,28,28,39,14,11,24,36,32,23,2,6,13,10,26,22,36,24,15,41,16,31,9,40,41,44,49,65,21,29,27,0,System
game_16.exe,39,3,1,36,17,30,25,20,14,4,31,30,11,31,9,28,25,9,34,28,34,31,15,25,25,30,31,50,40,12,9,50,6,49,14,34,12,8,6,6,46,28,55,38,11,31,0,Game
wannacry_86.exe,51,23,29,58,44,26,57,88,100,187,58,51,30,74,166,67,87,38,86,493,19,53,76,14,53,48,22,19,29,12,9,19,4,23,2,9,19,19,16,28,12,4,22,6,21,12,1,WannaCry
teslacrypt_57.exe,63,21,42,75,77,242,78,68,44,241,78,45,69,131,280,52,62,53,43,87,65,13,68,59,48,99,11,27,14,1,17,8,2,5,1,1,19,18,29,14,4,26,14,8,29,9,1,TeslaCrypt
locky_59.exe,161,26,54,35,59,86,83,146,39,82,66,136,22,87,43,88,77,11,10,24,58,78,28,28,76,14,30,25,14,10,23,13,15,3,27,5,15,6,11,11,28,18,13,4,25,6,1,Locky
system_78.exe,25,0,34,36,37,9,8,20,15,4,37,21,22,7,34,18,22,32,7,57,10,8,11,20,5,11,34,27,23,17,7,26,9,48,15,49,30,8,25,34,27,37,39,41,5,25,0,System
office_34.exe,16,1,2,19,39,5,36,33,26,3,1,39,11,20,30,7,19,24,34,63,25,40,31,24,1,30,44,25,26,46,6,23,17,33,32,47,46,7,50,18,20,6,35,50,46,13,0,Office
cerber_44.exe,61,105,88,87,42,78,68,64,185,212,81,78,44,89,63,76,17,23,82,388,58,89,24,63,23,63,11,30,25,4,13,5,11,19,4,29,22,2,18,21,10,29,7,13,1,23,1,Cerber
game_92.exe,36,15,40,1,5,37,28,14,5,2,16,18,33,15,2,9,11,4,3,27,9,20,30,36,19,13,37,41,25,33,39,20,9,18,28,46,30,8,36,39,35,36,65,10,42,23,0,Game
teslacrypt_50.exe,49,47,36,77,54,104,59,84,14,302,68,86,48,178,340,33,21,35,98,37,52,88,69,37,53,43,8,27,6,14,7,14,29,23,10,19,4,14,23,16,22,29,15,3,29,19,1,TeslaCrypt
